Time,Total Facility Power,Main Switchgear 1,Main Switchgear 2
03/06/2016 00:00:00,935.1731027777714,93.25228972222249,814.6651519444422
03/06/2016 01:00:00,912.9288438889198,99.94748388888547,841.3291422222246
03/06/2016 02:00:00,929.6864774999849,100.75621583333123,855.4304691666621
03/06/2016 03:00:00,917.1584222222154,102.57042361111235,881.5708866666682
03/06/2016 04:00:00,918.7887725000037,93.58267277778214,851.5610938888858
03/06/2016 05:00:00,920.6286691666755,93.62186888888391,867.0858236111089
03/06/2016 06:00:00,915.9540063888708,79.17130805555644,800.8440969444491
03/06/2016 07:00:00,925.1598008333531,74.82851833333552,806.4497758333309
03/06/2016 08:00:00,946.5720741666446,75.0819955555562,843.0244108333427
03/06/2016 09:00:00,977.9324213889195,79.75607972221769,820.5146588888892
03/06/2016 10:00:00,1010.3184188888699,77.7600033333365,807.8615833333315
