customer_name,time,total_weight
PERDUE FOODS LLC,3/24/16 12:07,45001
PERDUE FOODS LLC,3/24/16 12:44,57476
PERDUE FOODS LLC,3/24/16 12:47,57476
PILGRIM'S PRIDE BROADWAY(IRPS),3/24/16 13:33,60040
PERDUE FOODS LLC,3/24/16 13:57,6614
PILGRIM'S PRIDE BROADWAY(IRPS),3/24/16 14:29,60040
PERDUE FOODS LLC,3/24/16 15:04,56400
CARGILL MEAT SOLUTIONS CORP.,3/24/16 15:31,59000
PILGRIM'S PRIDE BROADWAY(IRPS),3/24/16 17:49,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/24/16 19:07,60051
PILGRIM'S PRIDE BROADWAY(IRPS),3/24/16 19:44,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/24/16 21:41,60051
PERDUE FOODS LLC,3/25/16 8:17,56400
CARGILL MEAT SOLUTIONS CORP.,3/25/16 8:32,59000
PILGRIM'S PRIDE BROADWAY(IRPS),3/25/16 9:09,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/25/16 9:16,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/25/16 10:27,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/25/16 10:31,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/25/16 10:54,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/25/16 11:13,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/25/16 12:49,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/25/16 12:53,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/25/16 13:10,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/25/16 13:30,60022
SOUTH FLORIDA FOODS,3/25/16 16:14,39680
PILGRIM'S PRIDE BROADWAY(IRPS),3/28/16 8:11,60051
PILGRIM'S PRIDE BROADWAY(IRPS),3/28/16 8:46,60051
PERDUE FOODS LLC,3/28/16 9:03,57476
PERDUE FOODS LLC,3/28/16 10:10,57872
PERDUE FOODS LLC,3/28/16 10:16,57872
PERDUE FOODS LLC,3/28/16 11:00,57476
PERDUE FOODS LLC,3/28/16 11:11,57872
PERDUE FOODS LLC,3/28/16 12:56,56400
PILGRIM'S PRIDE BROADWAY(IRPS),3/28/16 13:21,60022
PERDUE FOODS LLC,3/28/16 13:56,57972
PERDUE FOODS LLC,3/28/16 14:01,56400
PERDUE FOODS LLC,3/28/16 14:30,57972
PERDUE FOODS LLC,3/28/16 14:41,57972
PILGRIM'S PRIDE BROADWAY(IRPS),3/28/16 15:42,60022
ALICE FOOD CORP.,3/28/16 16:12,21834
ALICE FOOD CORP.,3/28/16 16:15,18490
PILGRIM'S PRIDE BROADWAY(IRPS),3/28/16 16:34,60022
