time,pallets
4/5/16 17:14,2
4/5/16 20:16,2
4/7/16 9:49,2
4/6/16 13:18,2
4/1/16 18:19,3
4/6/16 8:40,2
4/4/16 17:37,2
4/4/16 11:06,5
4/5/16 12:10,4
4/5/16 16:17,4
4/6/16 16:25,2
4/5/16 17:59,4
4/6/16 10:51,4
4/7/16 12:30,3
4/7/16 12:10,5
4/4/16 16:36,3
4/7/16 0:00,3
4/7/16 0:00,3
4/7/16 14:11,3
3/3/16 15:51,2
3/6/16 8:49,1
3/6/16 9:43,2
3/3/16 17:01,2
3/4/16 16:01,2
3/11/16 17:26,2
3/7/16 21:29,2
3/5/16 9:23,2
3/8/16 13:43,2
3/9/16 20:39,2
3/9/16 21:37,2
3/8/16 17:01,1
3/11/16 13:03,2
3/11/16 21:25,2
3/10/16 21:03,1
3/14/16 9:37,2
3/12/16 9:37,2
3/13/16 8:19,2
3/14/16 9:35,2
3/13/16 9:46,2
3/17/16 13:24,2
3/18/16 19:33,2
3/20/16 9:15,2
3/18/16 21:15,2
3/20/16 8:08,2
3/16/16 18:38,2
3/16/16 20:04,2
3/17/16 16:15,3
3/17/16 10:26,3
3/17/16 17:43,2
3/20/16 9:58,3
3/22/16 0:00,2
3/22/16 17:09,2
3/24/16 12:09,2
3/25/16 16:26,2
3/24/16 22:21,2
3/22/16 17:28,3
3/24/16 19:23,3
3/24/16 20:59,3
3/25/16 19:24,2
3/24/16 16:23,3
3/24/16 10:14,3
3/24/16 20:48,2
3/28/16 16:09,2
4/1/16 8:27,2
3/30/16 20:16,2
3/31/16 12:34,2
4/1/16 20:29,2
4/3/16 9:08,2
3/28/16 12:21,2
3/31/16 17:37,2
3/28/16 20:21,2
3/31/16 13:23,2
4/5/16 19:53,2
4/2/16 8:59,4
3/31/16 20:53,3
4/1/16 14:57,4
4/4/16 13:49,2
4/4/16 21:35,3
4/4/16 8:39,2
4/6/16 20:40,3
4/5/16 21:48,3
4/7/16 0:00,2
4/7/16 8:29,4
4/6/16 13:47,5
3/6/16 10:44,1
3/4/16 20:20,2
3/6/16 9:07,1
3/7/16 19:59,2
3/8/16 19:06,2
3/8/16 22:19,2
3/8/16 12:41,2
3/9/16 12:26,2
3/9/16 16:58,1
3/10/16 16:14,2
3/11/16 20:59,2
3/7/16 17:08,1
3/9/16 16:16,2
3/10/16 20:50,1
3/10/16 12:18,4
3/11/16 12:11,2
3/14/16 17:09,1
3/15/16 8:29,2
3/13/16 10:31,2
3/16/16 9:32,2
3/16/16 18:31,2
3/18/16 10:48,2
3/11/16 20:34,2
3/17/16 9:31,2
3/15/16 17:41,2
3/17/16 8:24,1
3/16/16 10:12,3
3/21/16 8:53,2
3/18/16 20:37,2
3/23/16 14:30,2
3/19/16 9:04,2
3/25/16 20:46,2
3/18/16 10:38,1
3/25/16 9:02,2
3/18/16 21:21,3
3/22/16 19:35,3
3/22/16 14:46,3
3/25/16 22:07,2
3/23/16 10:34,2
3/25/16 20:20,3
3/26/16 8:54,5
3/28/16 19:17,1
3/28/16 16:27,2
3/29/16 20:39,2
3/31/16 16:43,2
4/1/16 17:07,2
4/3/16 8:19,2
3/31/16 10:09,4
3/30/16 19:47,4
4/3/16 9:52,2
4/4/16 9:55,5
4/6/16 20:47,2
4/6/16 15:56,2
3/31/16 16:44,2
4/4/16 13:28,3
4/6/16 9:57,4
4/5/16 16:59,3
4/4/16 19:34,2
4/5/16 14:52,4
4/7/16 12:31,3
